SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
263,APOLLOHOSP,2024-02-28,6630.00,6362.35,6630.00,6345.30,6362.35,536602
264,APOLLOHOSP,2024-02-29,6392.55,6101.60,6392.55,6062.05,6101.60,1543361
265,APOLLOHOSP,2024-03-01,6102.00,6085.40,6107.00,5941.85,6085.40,1749136
266,APOLLOHOSP,2024-03-04,6145.00,6033.30,6171.75,6022.85,6033.30,551616
267,APOLLOHOSP,2024-03-05,6035.05,6061.10,6103.50,5976.20,6061.10,724456
268,APOLLOHOSP,2024-03-06,6025.00,6054.30,6078.90,5945.00,6054.30,588776
269,APOLLOHOSP,2024-03-07,6065.50,6048.80,6142.85,6032.00,6048.80,738112
270,APOLLOHOSP,2024-03-11,6048.80,6204.70,6225.00,6036.10,6204.70,521556
271,APOLLOHOSP,2024-03-12,6240.00,6144.80,6274.25,6107.50,6144.80,482112
272,APOLLOHOSP,2024-03-13,6180.00,6008.40,6180.00,5956.05,6008.40,356191
273,APOLLOHOSP,2024-03-14,6008.40,6023.15,6095.00,5980.00,6023.15,439181
274,APOLLOHOSP,2024-03-15,6015.00,5983.20,6030.85,5941.60,5983.20,764270
275,APOLLOHOSP,2024-03-18,5997.75,6136.55,6144.95,5978.65,6136.55,419258
276,APOLLOHOSP,2024-03-19,6077.00,6113.20,6125.70,6034.05,6113.20,542392
277,APOLLOHOSP,2024-03-20,6148.00,6174.05,6200.70,6073.45,6174.05,413963
278,APOLLOHOSP,2024-03-21,6189.90,6182.50,6214.40,6105.60,6182.50,350032
279,APOLLOHOSP,2024-03-22,6169.15,6375.90,6390.90,6168.70,6375.90,727548
280,APOLLOHOSP,2024-03-26,6398.00,6322.45,6463.45,6309.50,6322.45,629120
281,APOLLOHOSP,2024-03-27,6355.00,6231.45,6399.40,6220.00,6231.45,603420
282,APOLLOHOSP,2024-03-28,6231.45,6356.80,6425.60,6112.50,6356.80,818070
283,APOLLOHOSP,2024-04-01,6401.00,6457.25,6557.00,6372.75,6457.25,440465
284,APOLLOHOSP,2024-04-02,6469.50,6419.75,6469.50,6404.20,6419.75,213898
285,APOLLOHOSP,2024-04-03,6399.55,6375.05,6409.00,6311.00,6375.05,289202
286,APOLLOHOSP,2024-04-04,6425.00,6440.60,6475.00,6326.40,6440.60,547885
287,APOLLOHOSP,2024-04-05,6440.60,6397.75,6480.00,6381.55,6397.75,239001
288,APOLLOHOSP,2024-04-08,6397.75,6307.75,6397.75,6280.00,6307.75,491584
